x,y,z
-6.514446224785319,-6.983847258997946,23.91496798568979
-6.539779225337409,-7.083464678078439,23.82621998769317
-6.568806574880208,-7.185958480324592,23.74288792181117
-6.601486107075782,-7.291235610408227,23.665151949020807
-6.637773062539468,-7.399198469401755,23.59319211756789
-6.677619976679069,-7.509744080089913,23.527188240271265
-6.720976528173054,-7.622763235514646,23.467319711430147
-6.767789350613868,-7.738139635158035,23.413765256515276
-6.8180018184474696,-7.855749013402853,23.366702592846345
-6.87155379032358,-7.975458252622875,23.326308031237716
-6.9283813315801375,-8.097124512088394,23.292755975947845
-6.988416401394064,-8.220594347766214,23.26621834664102
-7.051586513128653,-8.345702846467255,23.24686390861428
-7.1178143764644295,-8.472272799280615,23.234857498305878
-7.187017503565765,-8.60011386186714,23.230359158409982
-7.259107811136123,-8.729021803798435,23.233523164352132
-7.333991192079529,-8.858777761479915,23.244496941746757
-7.411567080310141,-8.989147571603155,23.26341988047032
-7.4917280114109595,-9.119881194681572,23.29042204052828
-7.574359150999679,-9.250712140098722,23.325622718327857
-7.659337863403503,-9.381357116546498,23.369128956808265
-7.74653326618492,-9.511515743770744,23.421033918534462
-7.835805764379246,-9.640870308271602,23.481415104254328
-7.927006666718233,-9.76908583798731,23.550332609560478
-8.019977773684335,-9.895810221926261,23.627827168997626
-8.114550991488601,-10.020674505230943,23.71391810820367
-8.210548054120297,-10.143293523491606,23.80860144071565
-8.307780210079752,-10.263266613543449,23.91184764688793
-8.406047993707446,-10.380178611350088,24.023599522622675
-8.505141118198493,-10.493601160272071,24.143770266199738
-8.604838348399735,-10.603094221728972,24.27224115036716
-8.704907516435876,-10.708207894508778,24.408859526833435
-8.805105660703829,-10.808484501255348,24.553437088824822
-8.905179188167363,-10.903461068890683,24.705747734611133
-9.004864214111176,-10.992671975879011,24.8655260639285
-9.103887020619371,-11.075651895653364,25.032466058139878
-9.201964618284952,-11.151939290476397,25.206219577628033
-9.298805462724939,-11.22107974548745,25.38639568867625
-9.394110321694399,-11.282629810613376,25.572560092879325
-9.48757330622164,-11.33616130691368,25.764234767357514
-9.57888299866166,-11.381265191831497,25.960898367883356
-9.667723775839214,-11.417555908260429,26.161986971913816
-9.75377727973767,-11.444675961852338,26.366895193255832
-9.836724025519887,-11.462300459147576,26.574977856847475
-9.916245167273479,-11.470141506760513,26.7855523677691
-9.992024335603586,-11.467952240754686,26.99790156367921
-10.063749690524114,-11.45553124245175,27.211277169917558
-10.131115936469325,-11.432726293038172,27.424903551570015
-10.193826554717749,-11.399437977012187,27.637982400302796
-10.251595981154281,-11.355622683803182,27.849697598499027
-10.304151893358574,-11.301295238852395,28.059220789197983
-10.35123745564773,-11.236530971017524,28.265717127554407
-10.392613538445543,-11.161467090458618,28.46835139016049
-10.428060929375016,-11.076303403625415,28.666294550998355
-10.457382367032313,-10.981302330021398,28.858730145689023
-10.480404559846814,-10.876788023440913,29.04486115287976
-10.496979953001595,-10.763145014033242,29.22391626974138
-10.506988383975886,-10.64081564903633,29.395156579854007
-10.510338495439985,-10.51029725770956,29.557881573163954
-10.50696890828167,-10.372138150335529,29.711435010862818
-10.496849155417342,-10.226933278472394,29.855210251218907
-10.479980312904049,-10.07531916428758,29.988654984256154
-10.456395346282822,-9.917968177252057,30.111275417081988
-10.426159201732354,-9.755582777735803,30.222639742675586
-10.389368481709992,-9.588888828300224,30.322380721629067
-10.346150980345042,-9.418629385809002,30.4101977810546
-10.296664724140962,-9.245557715910202,30.485857848024708
-10.241096942355485,-9.070430844173963,30.549195937042814
-10.179662576038918,-8.894002890399184,30.600114390563487
-10.112602678960139,-8.717018742233257,30.63858180162784
-10.040182534325705,-8.540208101104444,30.66463099111611
-9.96268954496164,-8.364279817216353,30.678356254283987
-9.880431120304545,-8.189916744027142,30.67991054923828
-9.793732215063569,-8.017771173097865,30.669501438475944
-9.702932899481649,-7.848460830627499,30.647387054851333
-9.608385885863285,-7.682565472651841,30.613871811788655
-9.510453962171482,-7.520624159194668,30.56930162708093
-9.409507468373324,-7.3631331403893165,30.514059146102618
-9.305921801418158,-7.210544394108453,30.44855886926956
-9.200074987310908,-7.063264765055058,30.373242309696575
-9.092345341502522,-6.921655686365811,30.288573223768577
-8.98310924115988,-6.786033452179298,30.19503299374289
-8.872739039979754,-6.656669969820578,30.09311624527291
-8.761601124463349,-6.533793961990833,29.983326693167342
-8.650054135680147,-6.4175925576129185,29.86617328694495
-8.538447365021756,-6.308213211136255,29.742166679398522
-8.427119328386926,-6.2057658853541104,29.611816032639567
-8.316396520958152,-6.110325454894485,29.47562616820928
-8.206592354333628,-6.021934274325349,29.334095068980385
-8.098006274480039,-5.940604851410178,29.18771173107984
-7.990923053200312,-5.866322568965608,29.036954350324248
-7.885612246010933,-5.799048429148721,28.882288828227313
